nombre_negocio,categoria,estado,ciudad,telefono,email,sitio_web,rating,review_count
Churrería Porfirio,Yogurt,Coahuila,Piedras Negras,,,https://www.instagram.com/churreriaporfiriopn?igsh=MWRpbjl0YzBpZ2pp,5,1
FROYOU ICE CREAM,Yogurt,Coahuila,Piedras Negras,878 159 0673,,,5,3
Gutiérrez Plaza,Yogurt,Coahuila,Piedras Negras,878 783 5003,,http://www.supergutierrez.com.mx,4.3,895
H-E-B Piedras Negras,Yogurt,Coahuila,Piedras Negras,878 784 2000,,https://www.heb.com.mx,4.6,1506
Hellow Yogurt,Yogurt,Coahuila,Piedras Negras,878 887 4885,,,,0
La Pachanga Abarrotes,Yogurt,Coahuila,Piedras Negras,,,,4.6,35
Manz-Ana,Yogurt,Coahuila,Piedras Negras,,,,4.7,84
Natuve,Yogurt,Coahuila,Piedras Negras,878 770 5058,,,4.8,5
Nieve de YOGURT,Yogurt,Coahuila,Piedras Negras,,,,,0
Piensa Fresco Piedras Negras,Yogurt,Coahuila,Piedras Negras,878 153 6901,,,5,11
Snow Yogurt,Yogurt,Coahuila,Piedras Negras,,,,5,1
"Snow yogurt, nieve de yogurt & snack's",Yogurt,Coahuila,Piedras Negras,878 122 1294,,,4,25
Yogufrut Piedras Negras.,Yogurt,Coahuila,Piedras Negras,844 298 3814,,,4.3,6
Lácteos Santa María,Lácteos,Coahuila,Río Bravo,,,,4.3,106
"Panadería y Pastelería ""Conchis""",Panadería,Coahuila,Río Bravo,877 772 0865,,,4.4,243
Helados Tocumbo,Yogurt,Coahuila,Río Bravo,,,,4.4,409
Abarrotes Y Carniceria Alisson,Carnicería,Coahuila,Saltillo,,,,,
Abarrotes Y Carniceria El Roble,Carnicería,Coahuila,Saltillo,,,,,
Abarrotes Y Carniceria El Taliban,Carnicería,Coahuila,Saltillo,,,,,
Abarrotes Y Carniceria Estrella,Carnicería,Coahuila,Saltillo,,,,,
Abarrotes Y Carniceria La Especial,Carnicería,Coahuila,Saltillo,,,,,
Abarrotes Y Carniceria Mis Viejos,Carnicería,Coahuila,Saltillo,8443447810,,,,
Abarrotes Y Carniceria Mony,Carnicería,Coahuila,Saltillo,,,,,
Abarrotes Y Carniceria Morales,Carnicería,Coahuila,Saltillo,,gullermomorales_3@gmail.com,,,
Abarrotes Y Carniceria Sagrada Familia,Carnicería,Coahuila,Saltillo,,,,,
Abarrotes Y Carniceria Triangulo Ii,Carnicería,Coahuila,Saltillo,8441789257,,,,
Bodega De Carniceria Milan,Carnicería,Coahuila,Saltillo,,,,,
Carne Depot,Carnicería,Coahuila,Saltillo,844 356 4551,,http://www.carnedepot.com,4.1,16
Carnes Dávila,Carnicería,Coahuila,Saltillo,844 451 2795,,https://www.facebook.com/armando.davilaguillen.1,4.7,162
Carnes Finas San Juan,Carnicería,Coahuila,Saltillo,844 728 4992,,https://www.carnessanjuan.com,4.7,389
Carnes Finas de Saltillo Plus,Carnicería,Coahuila,Saltillo,844 194 0869,,,4.8,41
Carnes Rancho Grande,Carnicería,Coahuila,Saltillo,844 416 1104,,,3.6,61
Carnes San Miguel,Carnicería,Coahuila,Saltillo,844 439 1086,,,4.3,77
Carnes San Miguel de Saltillo,Carnicería,Coahuila,Saltillo,844 410 2480,,https://www.facebook.com/SanMiguelSaltillo,4.3,118
Carniceria,Carnicería,Coahuila,Saltillo,,,,,
Carniceria 3 Hermanos,Carnicería,Coahuila,Saltillo,,,,,
Carniceria Abasolo,Carnicería,Coahuila,Saltillo,8442208218,,,,
Carniceria Alex,Carnicería,Coahuila,Saltillo,8445923092,,,,
Carniceria Arteaga,Carnicería,Coahuila,Saltillo,,,,,
Carniceria Arturo Lopez Reyes,Carnicería,Coahuila,Saltillo,,,,,
Carniceria Ayon,Carnicería,Coahuila,Saltillo,8441207403,,,,
Carniceria Badillo,Carnicería,Coahuila,Saltillo,8442349486,,,,
Carniceria Becerra,Carnicería,Coahuila,Saltillo,8442988280,,,,
Carniceria Beny Balderas,Carnicería,Coahuila,Saltillo,,,,,
Carniceria Bernal,Carnicería,Coahuila,Saltillo,,,,,
Carniceria Brisa,Carnicería,Coahuila,Saltillo,,,,,
Carniceria Carnes El Mirador,Carnicería,Coahuila,Saltillo,,distribuidoraelmirador@hotmail.com,,,
Carniceria Carnes Finas 2R,Carnicería,Coahuila,Saltillo,,,,,
Carniceria Carnes Garza,Carnicería,Coahuila,Saltillo,,,,,
Carniceria Carnes Milan,Carnicería,Coahuila,Saltillo,8444107146,,,,
Carniceria Cg,Carnicería,Coahuila,Saltillo,8442944238,,,,
Carniceria Checos,Carnicería,Coahuila,Saltillo,8442788197,,,,
Carniceria Coahuila,Carnicería,Coahuila,Saltillo,,,,,
Carniceria Corona,Carnicería,Coahuila,Saltillo,8445036708,,,,
Carniceria Coronado,Carnicería,Coahuila,Saltillo,8444896406,,,,
Carniceria Corpus,Carnicería,Coahuila,Saltillo,,,,,
Carniceria D-81,Carnicería,Coahuila,Saltillo,8446710582,,,,
Carniceria Distrito,Carnicería,Coahuila,Saltillo,,,,,
Carniceria Don Chuy,Carnicería,Coahuila,Saltillo,,,,,
Carniceria Don Juan,Carnicería,Coahuila,Saltillo,,,,,
Carniceria El,Carnicería,Coahuila,Saltillo,,,,,
Carniceria El Abuelo,Carnicería,Coahuila,Saltillo,8445403270,,,,
Carniceria El Alamo,Carnicería,Coahuila,Saltillo,,,,,
Carniceria El Charro,Carnicería,Coahuila,Saltillo,,,,,
Carniceria El Compadre 2,Carnicería,Coahuila,Saltillo,,,,,
Carniceria El Flaco,Carnicería,Coahuila,Saltillo,,,,,
Carniceria El Fortin,Carnicería,Coahuila,Saltillo,8446680755,,,,
Carniceria El Guero,Carnicería,Coahuila,Saltillo,,,,,
Carniceria El Negrito,Carnicería,Coahuila,Saltillo,,,,,
Carniceria El Salto,Carnicería,Coahuila,Saltillo,,,,,
Carniceria El Saucillo,Carnicería,Coahuila,Saltillo,,,,,
Carniceria El Toro,Carnicería,Coahuila,Saltillo,8441298767,,,,
Carniceria Encina,Carnicería,Coahuila,Saltillo,,,,,
Carniceria Esquivel,Carnicería,Coahuila,Saltillo,8444235418,,,,
Carniceria Franky,Carnicería,Coahuila,Saltillo,,,,,
Carniceria Franky 2,Carnicería,Coahuila,Saltillo,,,,,
Carniceria Franky 3,Carnicería,Coahuila,Saltillo,8444894429,,,,
Carniceria Galme,Carnicería,Coahuila,Saltillo,,,,,
Carniceria Girasol,Carnicería,Coahuila,Saltillo,,,,,
Carniceria Grand Meat,Carnicería,Coahuila,Saltillo,,,,,
Carniceria Insurgentes,Carnicería,Coahuila,Saltillo,,,,,
Carniceria Iriseth,Carnicería,Coahuila,Saltillo,8441798020,,,,
Centro de Carnes García,Carnicería,Coahuila,Saltillo,844 154 0181,,,4.1,107
Chick & Cow,Carnicería,Coahuila,Saltillo,844 485 2131,,http://www.chickandcow.com.mx,4.4,373
El Mirador,Carnicería,Coahuila,Saltillo,844 111 0835,,,4.4,249
MEAT & MEAT SJ,Carnicería,Coahuila,Saltillo,844 305 8306,,,4.8,23
Meat Market,Carnicería,Coahuila,Saltillo,844 415 7477,,https://www.facebook.com/profile.php?id=100063602170524,4.6,17
Pura Karne,Carnicería,Coahuila,Saltillo,844 481 9300,,,4.7,119
Ricky Alimentos,Carnicería,Coahuila,Saltillo,844 481 1010,,,4.6,202
Super Carnes Rosales,Carnicería,Coahuila,Saltillo,844 289 0246,,,4.8,31
Súper Carnes La Calzada,Carnicería,Coahuila,Saltillo,844 417 5430,,,4.6,118
Súper Carnes La Quinta,Carnicería,Coahuila,Saltillo,844 431 1134,,https://www.facebook.com/SuperCarnesLaQuinta,4.4,129
Súper Carnes Madero,Carnicería,Coahuila,Saltillo,844 135 8687,,,4.8,40
AVEYMAS,Leche,Coahuila,Saltillo,844 434 6400,,http://aveymas.com,4.2,229
Abastecedora La Diligencia S.A De C.V,Leche,Coahuila,Saltillo,844 438 8830,,https://bachoco.com.mx,4.2,35
Aveymas,Leche,Coahuila,Saltillo,844 430 2622,,,4.4,23
Distribuidora Argüelles,Leche,Coahuila,Saltillo,844 118 5398,,https://www.facebook.com/distribuidoraarguellesmx/?locale=es_LA,4.3,42
Distribuidora De Lacteos La Estrella,Leche,Coahuila,Saltillo,,disdelacteos_01@hotmail.com,,,
Distribuidora Las Sevillanas,Leche,Coahuila,Saltillo,,emp_medellin@hotmail.com,,,
La Diligencia,Leche,Coahuila,Saltillo,844 489 0070,,,3.9,36
Liconsa,Leche,Coahuila,Saltillo,800 800 6939,,http://www.liconsa.gob.mx,3,4
Luma Natural,Leche,Coahuila,Saltillo,844 160 5551,,https://lumaprobioticos.mercadoshops.com.mx,5,2
Marsa,Leche,Coahuila,Saltillo,844 412 2186,,,4.4,2043
Mercado Sano,Leche,Coahuila,Saltillo,844 688 1500,,,4.4,166
Merco Saltillo Centro,Leche,Coahuila,Saltillo,800 265 6372,,https://merco.mx,4,1984
Terra Verde Orgánicos Saltillo,Leche,Coahuila,Saltillo,844 485 2250,,,4.5,28
Villa de Patos Saltillo,Leche,Coahuila,Saltillo,844 485 6806,,http://www.villadepatos.com,4.5,53
Distribuidora de Lácteos y Carnes Frías La Estrella,Lácteos,Coahuila,Saltillo,844 365 5176,,,3,6
Empacadora Gonzze,Lácteos,Coahuila,Saltillo,,,,4.1,505
"Más Qeso, Salchichonería, Jamones y Quesos",Lácteos,Coahuila,Saltillo,844 420 9290,,https://www.facebook.com/masqeso,4.4,55
PISSA,Lácteos,Coahuila,Saltillo,844 438 2806,,http://www.pissacorp.com,4.2,96
"Quesos, Jamones y Salchichonería, Más Qeso",Lácteos,Coahuila,Saltillo,844 420 9290,,https://www.facebook.com/masqeso,4.9,15
Salchichonería La Estrella,Lácteos,Coahuila,Saltillo,,,,5,1
Salchilacteos,Lácteos,Coahuila,Saltillo,844 410 0264,,,4.3,412
Aluet Panaderia,Panadería,Coahuila,Saltillo,,aluet.panaderia@hotmail.com,,,
Bodega De Panaderia Alondra,Panadería,Coahuila,Saltillo,,panaderiaalondra@hotmail.com,,,
Croasan Panaderia,Panadería,Coahuila,Saltillo,,,,,
Cruasan Panaderia,Panadería,Coahuila,Saltillo,,,,,
Deli Baguette Panaderia,Panadería,Coahuila,Saltillo,,gerenciadelibaguette@gmail.com,,,
Delibaguette Abasolo,Panadería,Coahuila,Saltillo,844 485 2014,,,4.5,398
Delibaguette Panaderia Y Pasteleria,Panadería,Coahuila,Saltillo,,,,,
El Cedro Panaderia Y Pasteleria,Panadería,Coahuila,Saltillo,8443589818,,,,
Estacionamiento Panaderia El Radio,Panadería,Coahuila,Saltillo,,,,,
La Casita del Pan,Panadería,Coahuila,Saltillo,,,https://www.facebook.com/La-casita-del-pan-482823875201304,4.7,382
La Crema,Panadería,Coahuila,Saltillo,844 414 2106,,,4.6,439
La Española,Panadería,Coahuila,Saltillo,844 415 4513,,,4.6,1026
La Ideal,Panadería,Coahuila,Saltillo,844 299 4182,,,4.5,42
La Panaderia,Panadería,Coahuila,Saltillo,,centrodesistemas@hotmail.com,,,
Megapan de Pulque Saltillo,Panadería,Coahuila,Saltillo,844 502 3022,,http://www.facebook.com/MegapanDePulque,4.4,103
Mena Pan,Panadería,Coahuila,Saltillo,844 412 1671,,,4.5,1155
Merendero Saltillo,Panadería,Coahuila,Saltillo,844 175 1042,,,4.7,181
Mora Pan,Panadería,Coahuila,Saltillo,844 407 0324,,https://www.morapan.com,4.7,268
Mora Pan Panaderia,Panadería,Coahuila,Saltillo,8444196180,vargasmauricio68@gmail.com,,,
MoraPan,Panadería,Coahuila,Saltillo,844 419 6180,,https://www.facebook.com/Mora-Pan-1687198194863206/?view_public_for=1687198194863206,4.6,807
Oh! Cakes,Panadería,Coahuila,Saltillo,844 114 1505,,,4.2,222
PANEAMORE,Panadería,Coahuila,Saltillo,844 666 5010,,https://www.instagram.com/paneamore_oficial_mx,4.2,573
Pan Gabriel Saltillo,Panadería,Coahuila,Saltillo,844 906 0275,,http://www.pangabriel.com,4.4,255
Panaderia,Panadería,Coahuila,Saltillo,8443561949,,,,
Panaderia 26 De Marzo,Panadería,Coahuila,Saltillo,,,,,
Panaderia 5 De Mayo,Panadería,Coahuila,Saltillo,8442806237,,,,
Panaderia Alamitos,Panadería,Coahuila,Saltillo,8442223300,,,,
Panaderia Aleman,Panadería,Coahuila,Saltillo,,linaescobedobueno@hotmail.com,,,
Panaderia Alexis,Panadería,Coahuila,Saltillo,,,,,
Panaderia Alpha,Panadería,Coahuila,Saltillo,,,,,
Panaderia Alvarado,Panadería,Coahuila,Saltillo,8444178771,,,,
Panaderia Amarte,Panadería,Coahuila,Saltillo,8445275392,,,,
Panaderia Angelito,Panadería,Coahuila,Saltillo,,,,,
Panaderia Aranza,Panadería,Coahuila,Saltillo,,,,,
Panaderia Bambi,Panadería,Coahuila,Saltillo,,,,,
Panaderia Benito,Panadería,Coahuila,Saltillo,,,,,
Panaderia Bocado,Panadería,Coahuila,Saltillo,,,,,
Panaderia Bonanza,Panadería,Coahuila,Saltillo,,,,,
Panaderia Cardenas,Panadería,Coahuila,Saltillo,,pbsc_1629@hotmail.com,,,
Panaderia Carlos,Panadería,Coahuila,Saltillo,8443729414,,,,
Panaderia Castillo,Panadería,Coahuila,Saltillo,,,,,
Panaderia Celso Pan,Panadería,Coahuila,Saltillo,,,,,
Panaderia Chamizal,Panadería,Coahuila,Saltillo,,,,,
Panaderia Chapul,Panadería,Coahuila,Saltillo,8441016883,bellanira_2@hotmail.com,,,
Panaderia Charly,Panadería,Coahuila,Saltillo,8444301841,,,,
Panaderia Conchita,Panadería,Coahuila,Saltillo,,,,,
Panaderia Cruz,Panadería,Coahuila,Saltillo,,,,,
Panaderia D&D,Panadería,Coahuila,Saltillo,8442801025,,,,
Panaderia Dayana,Panadería,Coahuila,Saltillo,8444131922,,,,
Panaderia De La Rosa,Panadería,Coahuila,Saltillo,8444871476,,,,
Panaderia Del Bosque,Panadería,Coahuila,Saltillo,,,,,
Panaderia Del Carmen,Panadería,Coahuila,Saltillo,8443066589,,,,
Panaderia Deli Baguette,Panadería,Coahuila,Saltillo,,,,,
Panaderia Delibaguette,Panadería,Coahuila,Saltillo,,proveedoresdelibaguette@hotmail.com,,,
Panaderia Don Cesar,Panadería,Coahuila,Saltillo,,,,,
Panaderia Dulce Gusto,Panadería,Coahuila,Saltillo,8443348149,,,,
Panaderia Dulce Tradicion,Panadería,Coahuila,Saltillo,8445065035,,,,
Panaderia El Arca,Panadería,Coahuila,Saltillo,8445348990,,,,
Panaderia El Biscocho,Panadería,Coahuila,Saltillo,,,,,
Panaderia El Castaño,Panadería,Coahuila,Saltillo,,,,,
Panaderia El Diluvio,Panadería,Coahuila,Saltillo,8444361121,panaderia_eldiluvio@hotmail.com,,,
Panaderia El Migajon,Panadería,Coahuila,Saltillo,,,,,
Panaderia El Puerto,Panadería,Coahuila,Saltillo,8442804501,,,,
Panaderia El Radio,Panadería,Coahuila,Saltillo,8441816094,,,,
Panaderia El Roble,Panadería,Coahuila,Saltillo,,,,,
Panaderia El Salvador,Panadería,Coahuila,Saltillo,,julio_saucedo_rodriguez@outlook.com,,,
Panaderia El Volcan,Panadería,Coahuila,Saltillo,,,,,
Panaderia Esquivel,Panadería,Coahuila,Saltillo,8446774645,,,,
Panaderia Estrada,Panadería,Coahuila,Saltillo,8443509638,,,,
Panaderia Flor De San Luis,Panadería,Coahuila,Saltillo,8444142771,,,,
Panaderia Flor De Trigo,Panadería,Coahuila,Saltillo,8441860324,,,,
Panaderia Gaby,Panadería,Coahuila,Saltillo,,,,,
Panaderia Gaona,Panadería,Coahuila,Saltillo,8444278369,,,,
Panaderia Garcia,Panadería,Coahuila,Saltillo,,,,,
Panaderia Gisselle,Panadería,Coahuila,Saltillo,8134740004,,,,
Panaderia Gonzalez,Panadería,Coahuila,Saltillo,8444360422,,,,
Panaderia Guadalupe,Panadería,Coahuila,Saltillo,,,,,
Panadería La Reyna,Panadería,Coahuila,Saltillo,844 412 1990,,,4.3,384
Panadería Teresitas,Panadería,Coahuila,Saltillo,844 606 0393,,,4.1,293
Panadería el Radio,Panadería,Coahuila,Saltillo,844 414 1491,,,4.5,856
Panificadora Alondra,Panadería,Coahuila,Saltillo,844 431 8498,,,4.6,570
Pastelería Lolita,Panadería,Coahuila,Saltillo,844 416 0297,,https://www.facebook.com/PasteleriaLolita,4.5,95
Superior Panificadora,Panadería,Coahuila,Saltillo,,,,4.7,36
Tres Espigas,Panadería,Coahuila,Saltillo,844 728 5628,,https://facebook.com/Tres-Espigas-Panaderia-404530463074002,4.3,384
El Bodegon Del Queso,Queso/Quesería,Coahuila,Saltillo,,,,3.8,11
El Bodegón del Queso,Queso/Quesería,Coahuila,Saltillo,844 135 5312,,,3.5,8
Queso “La arracada”,Queso/Quesería,Coahuila,Saltillo,,,,4.7,72
"Quesos ""San Marcos""",Queso/Quesería,Coahuila,Saltillo,844 309 7038,,,5,23
Quesos Elestablo,Queso/Quesería,Coahuila,Saltillo,844 281 7776,,,5,5
Quesos y alimentos el compadre,Queso/Quesería,Coahuila,Saltillo,844 340 5240,,,4.7,7
Elena's Helados Artesanal,Yogurt,Coahuila,Saltillo,,,http://www.elenashelados.com.mx,4.8,109
La Abeja,Yogurt,Coahuila,Saltillo,844 181 5400,,,4.3,35
Mui Natural,Yogurt,Coahuila,Saltillo,,,https://muinatural.mx,4.3,812
YOGHURT “LOS NIETOS”,Yogurt,Coahuila,Saltillo,844 452 3861,,,4.6,10
Yog Frozen Yogurt,Yogurt,Coahuila,Saltillo,844 688 1914,,,3.7,69
Yoghurt La Abeja,Yogurt,Coahuila,Saltillo,,,,,0
YoguFrut Sendero Sur,Yogurt,Coahuila,Saltillo,,,,4.1,7
Yogufrut,Yogurt,Coahuila,Saltillo,844 270 0686,,,3.1,59
Yogurt Arte Sanar,Yogurt,Coahuila,Saltillo,844 388 4351,,https://www.facebook.com/Yogurt-Arte-Sanar-106487492144269,5,1
Yogurt con frutas,Yogurt,Coahuila,Saltillo,,,,5,5
Yogurth Aleliz,Yogurt,Coahuila,Saltillo,844 351 8703,,https://www.facebook.com/profile.php?id=100089239539705&mibextid=ZbWKwL,4.7,12
LACTEOSELAGUILAFACTURACION,Lácteos,Coahuila,San Buenaventura,869 694 1217,,https://www.facebook.com/share/1BMgH6etnd/?mibextid=wwXIfr,4.5,157
Lácteos Palos,Lácteos,Coahuila,San Buenaventura,866 212 7810,,,4.9,16
Panadería Guzmán,Panadería,Coahuila,San Carlos,878 788 8466,,,4,8
AAA Carnes,Carnicería,Coahuila,Torreón,871 711 3278,,,4.1,70
Carfe Carniceria,Carnicería,Coahuila,Torreón,,,,,
Carne Mart Mega Torreón,Carnicería,Coahuila,Torreón,871 731 3347,,https://carnemart.com,4.1,46
Carnes AAA,Carnicería,Coahuila,Torreón,871 713 4866,,,4,39
Carnes ABINCA Fuentes,Carnicería,Coahuila,Torreón,871 751 0882,,http://www.carnesabinca.com/productos,3.9,104
Carnes ABINCA Vado,Carnicería,Coahuila,Torreón,871 713 4900,,http://www.carnesabinca.com,4.2,99
Carnes Finas el Andén,Carnicería,Coahuila,Torreón,871 718 8081,,http://www.carnesfinaselanden.com.mx,4.5,168
Carnes Finas el Andén Torreón Jardín,Carnicería,Coahuila,Torreón,871 433 4689,,http://carnesfinaselanden.com.mx,4.4,27
Carnes Y Visceras,Carnicería,Coahuila,Torreón,,,,4.8,54
Carniceria 31,Carnicería,Coahuila,Torreón,,,,,
Carniceria Alejandra,Carnicería,Coahuila,Torreón,8712210653,,,,
Carniceria Alianza,Carnicería,Coahuila,Torreón,,,,,
Carniceria Alvarado,Carnicería,Coahuila,Torreón,8717855860,,,,
Carniceria Carne Torreon,Carnicería,Coahuila,Torreón,8715780803,carni.torreon@outlook.com,,,
Carniceria Carnes De La Comarca,Carnicería,Coahuila,Torreón,8711139069,,,,
Carniceria Carnes Selectas,Carnicería,Coahuila,Torreón,,,,,
Carniceria Carsenor,Carnicería,Coahuila,Torreón,8713999998,,,,
Carniceria Castillo,Carnicería,Coahuila,Torreón,,gmacadi@hotmail.com,,,
Carniceria Del Rancho,Carnicería,Coahuila,Torreón,8712684539,,,,
Carniceria Delicarne,Carnicería,Coahuila,Torreón,,,,,
Carniceria Dical,Carnicería,Coahuila,Torreón,,,,,
Carniceria Don Jose,Carnicería,Coahuila,Torreón,8714715946,mpfacturacion@outlook.com,,,
Carniceria Don Tomy,Carnicería,Coahuila,Torreón,,,,,
Carniceria Don Toño,Carnicería,Coahuila,Torreón,8717926121,,,,
Carniceria Dos Hermanos,Carnicería,Coahuila,Torreón,,,,,
Carniceria Eden Lagunero,Carnicería,Coahuila,Torreón,,eleden@gmail.com,,,
Carniceria El Rapido,Carnicería,Coahuila,Torreón,,pepecruzrapido@live.com.mx,,,
Carniceria El Roble,Carnicería,Coahuila,Torreón,8717182607,,,,
Carniceria El Rodeo,Carnicería,Coahuila,Torreón,8717167509,,,,
Carniceria Garcia,Carnicería,Coahuila,Torreón,,,,,
Carniceria Guerrero,Carnicería,Coahuila,Torreón,,alfredo_xotepingo@hotmail.com,,,
Carniceria Hermanos Carranza,Carnicería,Coahuila,Torreón,,,,,
Carniceria Hermanos Lopez,Carnicería,Coahuila,Torreón,8717221876,,,,
Carniceria Hermanos Mesta,Carnicería,Coahuila,Torreón,8713852423,,,,
Carniceria Hermanos Pedroza,Carnicería,Coahuila,Torreón,8712040944,,,,
Carniceria Hernadez,Carnicería,Coahuila,Torreón,8713286808,,,,
Carniceria Jacarandas,Carnicería,Coahuila,Torreón,8717939195,,,,
Carniceria Jacobo,Carnicería,Coahuila,Torreón,8714931079,,,,
Carnicería EL RÁPIDO,Carnicería,Coahuila,Torreón,871 716 3828,,,4.7,80
Carnicería San José Centro,Carnicería,Coahuila,Torreón,871 713 8347,,http://www.carniceriasanjose.mx,4.1,91
Carnicería San José Laguna Sur,Carnicería,Coahuila,Torreón,871 115 1439,,http://www.carniceriasanjose.mx,4.4,24
Carnicería San José Periférico,Carnicería,Coahuila,Torreón,871 125 2397,,http://www.carniceriasanjose.mx,4.1,109
Carnicería San José Santa Fé,Carnicería,Coahuila,Torreón,871 896 4425,,http://www.carniceriasanjose.mx,4.2,60
DISTRIBUIDOR DE VISCERAS DEL NORTE,Carnicería,Coahuila,Torreón,871 751 2700,,,4.7,33
Don José,Carnicería,Coahuila,Torreón,871 150 5794,,,4.4,28
Ganadería Revuelta Tienda Mayoreo,Carnicería,Coahuila,Torreón,871 747 4748,,https://www.ganaderiarevuelta.com.mx/mayoreo,4.8,148
La Cabreria Boutique de Carne,Carnicería,Coahuila,Torreón,871 514 9605,,https://www.facebook.com/lacabreriatrc,5,9
La Tienduca de Ganadería Revuelta,Carnicería,Coahuila,Torreón,871 747 4707,,https://www.ganaderiarevuelta.com.mx/latienduca,4.8,429
Rancho el 17 Torreón,Carnicería,Coahuila,Torreón,871 688 7177,,,4.5,27
Chilchota,Leche,Coahuila,Torreón,871 676 7171,,http://www.chilchota.mx,4,59
Distribuidora De Alimentos,Leche,Coahuila,Torreón,8713998388,,,,
Distribuidora Panimart,Leche,Coahuila,Torreón,8717531390,,,,
Lala Módulo de VentaLala Módulo de Venta,Leche,Coahuila,Torreón,871 718 0945,,http://www.grupolala.com,4.5,268
Leche Bell,Leche,Coahuila,Torreón,871 711 3233,,,3,2
Produse productos,Leche,Coahuila,Torreón,871 718 8092,,https://www.produseproductos.com,4.3,42
Comercializadora de lácteos y derivados,Lácteos,Coahuila,Torreón,,,,,0
Derivados Lácteos Menonitas S.A. de C.V.,Lácteos,Coahuila,Torreón,433 983 2813,,,4,5
EQUIPOS LÁCTEOS LAGUNA S.A. de C.V.,Lácteos,Coahuila,Torreón,871 722 0999,,http://equiposlacteos.com.mx,4.3,31
Lala Derivados Lácteos,Lácteos,Coahuila,Torreón,,,,4.6,111
Lala Pasteurizadora,Lácteos,Coahuila,Torreón,871 229 3800,,,4.5,40
Lácteos de la Torre,Lácteos,Coahuila,Torreón,871 720 9397,,,4.9,47
Productos Lacteos Don Javier,Lácteos,Coahuila,Torreón,871 174 9138,,https://www.facebook.com/productoslacteosdonjavier,4.5,2
Queseria Juan Pablo y Lácteos La Huasteca,Lácteos,Coahuila,Torreón,871 332 5260,,,4.3,8
Quesos Pomas,Lácteos,Coahuila,Torreón,871 713 8566,,,4.3,30
Santa Ana productos lacteos,Lácteos,Coahuila,Torreón,871 718 9863,,,4.8,13
Bakings,Panadería,Coahuila,Torreón,871 269 1504,,https://www.bakings.com.mx,4.1,123
Central Panificadora,Panadería,Coahuila,Torreón,871 298 3072,,,4.5,72
Central Panificadora Jocelyne,Panadería,Coahuila,Torreón,871 673 8373,,,4.6,94
Il Bombolone Panaderia Y Cafeteria,Panadería,Coahuila,Torreón,,ilbombolone@live.com,,,
LAGUPANIFICADORA,Panadería,Coahuila,Torreón,,,,4.7,257
"La Ideal ""La Cipreses""",Panadería,Coahuila,Torreón,871 721 0362,,https://www.facebook.com/panaderialacipresestorreon,4.7,1394
MERARY PANIFICADORA Y PASTELERÍA,Panadería,Coahuila,Torreón,871 721 9086,,https://www.facebook.com/panaderiamerary,4.1,114
Materias Primas Para Pasteleria Y Panaderia,Panadería,Coahuila,Torreón,,,,,
PANIFICADORA LA ESPIGA LAGUNA,Panadería,Coahuila,Torreón,871 285 3555,,,4.4,340
Pan Macarius sertoma,Panadería,Coahuila,Torreón,871 403 6793,,,4.8,103
Panaderia,Panadería,Coahuila,Torreón,,,,,
Panaderia Abastos,Panadería,Coahuila,Torreón,8715704528,,,,
Panaderia Aguilar,Panadería,Coahuila,Torreón,,,,,
Panaderia Aguirre,Panadería,Coahuila,Torreón,8717210115,,,,
Panaderia Arabe El Jaye,Panadería,Coahuila,Torreón,8714792550,,,,
Panaderia Aurora,Panadería,Coahuila,Torreón,,,,,
Panaderia Carlos,Panadería,Coahuila,Torreón,,,,,
Panaderia Cipreses,Panadería,Coahuila,Torreón,,panificadoracipreses@yahoo.com.mx,,,
Panaderia Compresora,Panadería,Coahuila,Torreón,8717122256,,,,
Panaderia Contreras,Panadería,Coahuila,Torreón,8717214277,,,,
Panaderia D Mary,Panadería,Coahuila,Torreón,8717331245,,,,
Panaderia Don Jose,Panadería,Coahuila,Torreón,8719422563,,,,
Panaderia El Milagro,Panadería,Coahuila,Torreón,8711010777,,,,
Panaderia El Paraiso,Panadería,Coahuila,Torreón,,,,,
Panaderia Favi,Panadería,Coahuila,Torreón,8711342565,,,,
Panaderia Gonzalez,Panadería,Coahuila,Torreón,,,,,
Panadería La Abeja,Panadería,Coahuila,Torreón,871 718 8125,,,4.6,66
Panadería La Española (suc. Alianza),Panadería,Coahuila,Torreón,871 680 1501,,,4.1,135
Panadería La Marquesa,Panadería,Coahuila,Torreón,871 716 2471,,,4.6,89
Panadería Morell,Panadería,Coahuila,Torreón,871 776 1970,,,4.7,32
Panadería Nubia,Panadería,Coahuila,Torreón,,,,4.4,310
Panificadora Abastos,Panadería,Coahuila,Torreón,871 193 9688,,,4.6,47
Panificadora Karys,Panadería,Coahuila,Torreón,871 433 5366,,,4.7,18
Panificadora Merary,Panadería,Coahuila,Torreón,871 718 6975,,https://www.facebook.com/panaderiamerary,4.4,82
Panificadora Nuevo Torreón,Panadería,Coahuila,Torreón,871 712 0607,,,4.4,37
Panificadoras Morell,Panadería,Coahuila,Torreón,871 776 3141,,,4.4,209
Pastelería D'Alis,Panadería,Coahuila,Torreón,871 712 5862,,https://dalispasteleria.mx,4.4,264
Victoria's Pastisseria,Panadería,Coahuila,Torreón,871 747 2224,,,4.6,189
Chilchota - El Hogar del Queso,Queso/Quesería,Coahuila,Torreón,871 221 0500,,https://www.chilchota.mx/hq,4.1,16
